"de","en"
"Armschiene","Vambrace"
"Beinschiene","Greave"
"Bronzene Lanzenspitze","Lance head (bronze)"
"Bronzene Speerspitze","Spear head (bronze)"
"Dolche, Schwerter und Schwertzubehör","Dagger, Sword and accessories"
"Eiserne Lanzenspitze","Lance head (iron)"
"Eiserne Speerspitze","Spear head (iron)"
"Fußpanzer","Sabaton"
"Helm","Helmet"
"Helmbusch und -zier","Helmet accessories"
"Knöchelpanzer","Ankle armour"
"Köcher- bzw. Gorytzubehör","Quiver and accessories"
"Miniaturwaffen","Miniature weapons"
"Mitra","Mitra"
"Oberschenkelpanzer","Cuisse"
"Panzer","Cuirass"
"Pfeilspitze","Arrow head"
"Sauroter","Sauroter"
"Schild oder Schildfragment","Shield and accessories"
"Schleudergeschosse","Slung shot"
"Stockspitzen","Stick head"
NA,NA